Price (TL),Product Name,Ranking,Comment Count
"
3.894
","
ASUS X515JA CORE İ3 1005G1 1.2GHZ-4GB RAM-256GB SSD-15.6""-INT-W10
","
80
","
(12)
"
"
6.699
","
LENOVO IDEAPAD 5 CORE İ5 1135G7 2.4GHZ-8GB-512GB SSD-14""-UMA W10
","
80
","
(12)
"
"
5.999
","
HUAWEI MATEBOOK D14 CORE İ5 10210U 1.6GHZ-8GB-256GBSSD-14""-INT-MYSTICGREY
","
0
","
(0)
"
"
5.999
","
HP 15S-FQ2023NT CORE i5 1135G7 2.4GHZ-8GB-256GB SSD-15.6""-INT-W10
","
10
","
(5)
"
"
1.999
","
HOMETECH ALFA 420C INTEL CELERON N3350 1.1GHZ-4GB-64GB eMMC-14'' -W10
","
80
","
(5)
"
"
8.999
","
HUAWEI MATEBOOK D 16 AMD RYZEN 5 4600H 3GHZ-16GB-512GB SSD-16.1""-AMD-W10
","
80
","
(26)
"
"
6.162
","
ASUS X415JA CORE İ5 1035G1 1.0GHZ-8GB RAM-256GB SSD-14""-MX130 2GB-W10
","
80
","
(14)
"
"
8.499
","
LENOVO IDEAPAD 5 CORE İ5 1135G7 2.4GHZ-16GB-512GB SSD-14""-MX450 2GB-W10
","
80
","
(1)
"
"
3.648
","
ASUS X540UA CORE İ3 7020U 2.3GHZ-4GB-256GB SSD-15.6""-INT-W10
","
80
","
(8)
"
"
10.999
","
MACBOOK AIR MGND3TU/A M1 8GB-256GBSSD-RETİNA-13.3""-INT-GOLD
","
80
","
(48)
"
"
9.300
","
ASUS TUF GAMING 15 CORE İ5 10300H 2.5GHZ-8GB-512GB SSD-15.6""-GTX1650TI 4GB-W10
","
10
","
(20)
"
"
4.799
","
HP 15-DW3014NT CORE i3 1115G4 3.0GHZ-8GB-256GB SSD-15.6""-INT-W10 NOTEBOOK
","
80
","
(17)
"
"
3.598
","
ASUS X540UA CORE İ3 7100U 2.4GHZ-4GB-256GB SSD-15.6""-INT-W10
","
80
","
(7)
"
"
7.789
","
ACER ASPIRE 7 CORE İ5 10300H 2.5GHZ-8GB-512GB SSD-15.6""-GTX1650 4GB-W10
","
0
","
(0)
"
"
4.338
","
ACER ASPIRE 5 CORE İ3 1005G1 1.2 GHZ-8GB-256GB SSD-14""-INT-W10
","
80
","
(9)
"
"
7.626
","
DELL VOSTRO 15 3500 CORE İ5 1135G7 2.4GHZ-8GB RAM-256GB SSD-15.6""-MX330 2GB-W10
","
80
","
(2)
"
"
14.073
","
ASUS TUF GAMING F15 CORE İ7 11800H 2.3GHZ-16GB-512GB SSD-15.6""-RTX3050 4GB-W10
","
0
","
(0)
"
"
8.999
","
LENOVO IDEAPAD GAMING 3 CORE İ5 10300H 2.4GHZ-8GB-512GB SSD-15.6""GTX1650 4GB-W10
","
10
","
(2)
"
"
2.999
","
ACER ASPIRE 3 A315 AMD A4-9120E 1.5GHZ-4GB-128GB SSD-15.6""-AMD-W10
","
80
","
(1)
"
